Player,Age,PTS,SAL
Shai Gilgeous-Alexander,26,32.7,35.860
Giannis Antetokounmpo,30,30.4,48.788
Nikola Jokić,29,29.6,51.416
Anthony Edwards,23,27.6,42.176
Jayson Tatum,26,26.8,34.848
Kevin Durant,36,26.6,51.179
Cade Cunningham,23,26.1,13.940
Jalen Brunson,28,26,24.960
Devin Booker,28,25.6,49.205
Damian Lillard,34,24.9,48.787
Stephen Curry,36,24.5,55.761
Karl-Anthony Towns,29,24.4,49.205
LeBron James,40,24.4,48.728
Trae Young,26,24.2,43.031
Franz Wagner,23,24.2,7.007
Donovan Mitchell,28,24,35.410
Tyler Herro,25,23.9,29.000
De'Aaron Fox,27,23.5,37.096
Zach LaVine,29,23.3,44.531
James Harden,35,22.8,39.182
DeMar DeRozan,35,22.2,23.400
Jaylen Brown,28,22.2,49.205
Jaren Jackson Jr.,25,22.2,25.257
Norman Powell,31,21.8,19.241
Jalen Williams,23,21.6,4.775
Jamal Murray,27,21.4,36.016
RJ Barrett,24,21.1,25.794
Jalen Green,22,21,12.483
Darius Garland,25,20.6,36.725
Jordan Poole,25,20.5,29.651
Coby White,24,20.4,12.000
Miles Bridges,26,20.3,27.173
Pascal Siakam,30,20.2,42.176
Austin Reaves,26,20.2,12.976
Scottie Barnes,23,19.3,10.130
Anfernee Simons,25,19.3,25.892
Desmond Bane,26,19.2,34.006
Domantas Sabonis,28,19.1,39.200
Alperen Şengün,22,19.1,5.424
Julius Randle,30,18.7,33.073
Tyrese Haliburton,24,18.6,42.176
Shaedon Sharpe,21,18.5,6.614
Evan Mobley,23,18.5,11.227
Nikola Vučević,34,18.5,20.000
Collin Sexton,26,18.4,18.150
Michael Porter Jr.,26,18.2,35.859
Bam Adebayo,27,18.1,34.848
OG Anunoby,27,18,36.637
Andrew Wiggins,29,18,26.276
Mikal Bridges,28,17.6,23.300
