Year,stat,value
0,TRB,0
0,AST,0
0,STL,0
0,BLK,0
0,PTS,0
1,TRB,432
1,AST,465
1,STL,130
1,BLK,58
1,PTS,1654
2,TRB,1020
2,AST,1042
2,STL,307
2,BLK,110
2,PTS,3829
3,TRB,1576
3,AST,1563
3,STL,430
3,BLK,176
3,PTS,6307
4,TRB,2102
4,AST,2033
4,STL,555
4,BLK,231
4,PTS,8439
5,TRB,2694
5,AST,2572
5,STL,693
5,BLK,312
5,PTS,10689
6,TRB,3307
6,AST,3159
6,STL,830
6,BLK,405
6,PTS,12993
7,TRB,3861
7,AST,3810
7,STL,955
7,BLK,482
7,PTS,15251
8,TRB,4451
8,AST,4364
8,STL,1079
8,BLK,532
8,PTS,17362
9,TRB,4943
9,AST,4751
9,STL,1194
9,BLK,582
9,PTS,19045
10,TRB,5553
10,AST,5302
10,STL,1323
10,BLK,649
10,PTS,21081
11,TRB,6086
11,AST,5790
11,STL,1444
11,BLK,675
11,PTS,23170
12,TRB,6502
12,AST,6301
12,STL,1553
12,BLK,724
12,PTS,24913
13,TRB,7067
13,AST,6815
13,STL,1657
13,BLK,773
13,PTS,26833
14,TRB,7706
14,AST,7461
14,STL,1749
14,BLK,817
14,PTS,28787
15,TRB,8415
15,AST,8208
15,STL,1865
15,BLK,888
15,PTS,31038
16,TRB,8880
16,AST,8662
16,STL,1937
16,BLK,921
16,PTS,32543
17,TRB,9405
17,AST,9346
17,STL,2015
17,BLK,957
17,PTS,34241
18,TRB,9751
18,AST,9696
18,STL,2063
18,BLK,982
18,PTS,35367
19,TRB,10210
19,AST,10045
19,STL,2136
19,BLK,1041
19,PTS,37062
20,TRB,10667
20,AST,10420
20,STL,2186
20,BLK,1073
20,PTS,38652
21,TRB,11185
21,AST,11009
21,STL,2275
21,BLK,1111
21,PTS,40474
22,TRB,11731
22,AST,11584
22,STL,2345
22,BLK,1150
22,PTS,42184

