Player,Age,PTS
LeBron James,19,20.9
LeBron James,20,27.2
LeBron James,21,31.4
LeBron James,22,27.3
LeBron James,23,30
LeBron James,24,28.4
LeBron James,25,29.7
LeBron James,26,26.7
LeBron James,27,27.1
LeBron James,28,26.8
LeBron James,29,27.1
LeBron James,30,25.3
LeBron James,31,25.3
LeBron James,32,26.4
LeBron James,33,27.5
LeBron James,34,27.4
LeBron James,35,25.3
LeBron James,36,25
LeBron James,37,30.3
LeBron James,38,28.9
LeBron James,39,25.7
LeBron James,40,24.4
Michael Jordan,21,28.2
Michael Jordan,22,22.7
Michael Jordan,23,37.1
Michael Jordan,24,35
Michael Jordan,25,32.5
Michael Jordan,26,33.6
Michael Jordan,27,31.5
Michael Jordan,28,30.1
Michael Jordan,29,32.6
Michael Jordan,31,26.9
Michael Jordan,32,30.4
Michael Jordan,33,29.6
Michael Jordan,34,28.7
Michael Jordan,38,22.9
Michael Jordan,39,20
Kareem Abdul-Jabar,22,28.8
Kareem Abdul-Jabar,23,31.7
Kareem Abdul-Jabar,24,34.8
Kareem Abdul-Jabar,25,30.2
Kareem Abdul-Jabar,26,27
Kareem Abdul-Jabar,27,30
Kareem Abdul-Jabar,28,27.7
Kareem Abdul-Jabar,29,26.2
Kareem Abdul-Jabar,30,25.8
Kareem Abdul-Jabar,31,23.8
Kareem Abdul-Jabar,32,24.8
Kareem Abdul-Jabar,33,26.2
Kareem Abdul-Jabar,34,23.9
Kareem Abdul-Jabar,35,21.8
Kareem Abdul-Jabar,36,21.5
Kareem Abdul-Jabar,37,22
Kareem Abdul-Jabar,38,23.4
Kareem Abdul-Jabar,39,17.5
Kareem Abdul-Jabar,40,14.6
Kareem Abdul-Jabar,41,10.1
Magic Johnson,20,18
Magic Johnson,21,21.6
Magic Johnson,22,18.6
Magic Johnson,23,16.8
Magic Johnson,24,17.6
Magic Johnson,25,18.3
Magic Johnson,26,18.8
Magic Johnson,27,23.9
Magic Johnson,28,19.6
Magic Johnson,29,22.5
Magic Johnson,30,22.3
Magic Johnson,31,19.4
Magic Johnson,36,14.6
Kobe Bryant,18,7.6
Kobe Bryant,19,15.4
Kobe Bryant,20,19.9
Kobe Bryant,21,22.5
Kobe Bryant,22,28.5
Kobe Bryant,23,25.2
Kobe Bryant,24,30
Kobe Bryant,25,24
Kobe Bryant,26,27.6
Kobe Bryant,27,35.4
Kobe Bryant,28,31.6
Kobe Bryant,29,28.3
Kobe Bryant,30,26.8
Kobe Bryant,31,27
Kobe Bryant,32,25.3
Kobe Bryant,33,27.9
Kobe Bryant,34,27.3
Kobe Bryant,35,13.8
Kobe Bryant,36,22.3
Kobe Bryant,37,17.6
Shaquille O'Neal,20,23.4
Shaquille O'Neal,21,29.3
Shaquille O'Neal,22,29.3
Shaquille O'Neal,23,26.6
Shaquille O'Neal,24,26.2
Shaquille O'Neal,25,28.3
Shaquille O'Neal,26,26.3
Shaquille O'Neal,27,29.7
Shaquille O'Neal,28,28.7
Shaquille O'Neal,29,27.2
Shaquille O'Neal,30,27.5
Shaquille O'Neal,31,21.5
Shaquille O'Neal,32,22.9
Shaquille O'Neal,33,20
Shaquille O'Neal,34,17.3
Shaquille O'Neal,35,13.6
Shaquille O'Neal,35,14.2
Shaquille O'Neal,35,12.9
Shaquille O'Neal,36,17.8
Shaquille O'Neal,37,12
Shaquille O'Neal,38,9.2
Larry Bird,23,21.3
Larry Bird,24,21.2
Larry Bird,25,22.9
Larry Bird,26,23.6
Larry Bird,27,24.2
Larry Bird,28,28.7
Larry Bird,29,25.8
Larry Bird,30,28.1
Larry Bird,31,29.9
Larry Bird,32,19.3
Larry Bird,33,24.3
Larry Bird,34,19.4
Larry Bird,35,20.2
Wilt Chamberlain,23,37.6
Wilt Chamberlain,24,38.4
Wilt Chamberlain,25,50.4
Wilt Chamberlain,26,44.8
Wilt Chamberlain,27,36.9
Wilt Chamberlain,28,34.7
Wilt Chamberlain,28,38.9
Wilt Chamberlain,28,30.1
Wilt Chamberlain,29,33.5
Wilt Chamberlain,30,24.1
Wilt Chamberlain,31,24.3
Wilt Chamberlain,32,20.5
Wilt Chamberlain,33,27.3
Wilt Chamberlain,34,20.7
Wilt Chamberlain,35,14.8
Wilt Chamberlain,36,13.2
Stephen Curry,21,17.5
Stephen Curry,22,18.6
Stephen Curry,23,14.7
Stephen Curry,24,22.9
Stephen Curry,25,24
Stephen Curry,26,23.8
Stephen Curry,27,30.1
Stephen Curry,28,25.3
Stephen Curry,29,26.4
Stephen Curry,30,27.3
Stephen Curry,31,20.8
Stephen Curry,32,32
Stephen Curry,33,25.5
Stephen Curry,34,29.4
Stephen Curry,35,26.4
Stephen Curry,36,24.5
Stephen Curry,37,29
Tim Duncan,21,21.1
Tim Duncan,22,21.7
Tim Duncan,23,23.2
Tim Duncan,24,22.2
Tim Duncan,25,25.5
Tim Duncan,26,23.3
Tim Duncan,27,22.3
Tim Duncan,28,20.3
Tim Duncan,29,18.6
Tim Duncan,30,20
Tim Duncan,31,19.3
Tim Duncan,32,19.3
Tim Duncan,33,17.9
Tim Duncan,34,13.4
Tim Duncan,35,15.4
Tim Duncan,36,17.8
Tim Duncan,37,15.1
Tim Duncan,38,13.9
Tim Duncan,39,8.6
