Team,PCT,,,,,,,,,,,,,,,,,,,,,,
Sacremento Kings,0.622,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,0.625,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,0.682,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,0.467,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,0.627,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,0.65,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,0.721,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,0.532,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,0.557,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,0.69,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,0.592,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,0.733,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,0.712,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,0.679,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,0.646,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,0.667,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,0.742,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,0.532,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,0.53,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,0.641,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,0.629,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,0.733,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,0.667,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,0.556,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,0.659,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,0.705,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,0.862,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,0.609,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,0.543,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,0.792,,,,,,,,,,,,,,,,,,,,,,
